fl,hp,lv,sp,pt,ar,st
0,76,7,125,1,4,0
0,105,6,91,0,4,0
0,77,7,96,0,4,1
0,98,3,97,1,4,1
0,104,6,112,1,4,0
0,82,7,84,1,4,1
0,78,7,81,1,4,1
0,81,4,95,0,4,1
0,92,6,89,0,4,2
0,88,4,115,1,4,0
0,76,6,104,1,4,1
0,81,12,79,0,4,2
0,89,7,83,1,4,1
0,76,7,82,1,4,1
0,94,6,130,0,4,1
0,80,8,103,0,4,0
0,80,6,126,1,4,0
0,92,11,84,0,4,1
0,77,7,109,0,4,1
0,73,3,115,0,4,1
0,84,11,82,0,4,0
0,0,7,107,0,4,0
0,95,4,93,2,4,0
0,83,7,79,1,4,1
0,90,8,75,0,4,1
0,102,7,92,0,4,0
0,85,6,92,0,4,3
0,80,7,85,0,4,2
0,75,6,111,0,4,1
0,77,9,94,0,4,0
0,80,11,86,1,4,0
0,85,8,80,0,4,0
0,0,6,91,0,4,3
0,105,6,88,1,4,1
0,86,7,108,0,4,1
0,77,4,95,2,4,0
0,77,7,77,0,4,1
0,82,6,152,0,4,0
0,90,6,112,1,4,0
0,81,7,81,0,4,2
0,78,7,109,0,4,1
0,78,7,118,0,4,0
0,80,8,93,0,4,0
0,75,6,102,1,4,0
0,105,6,112,0,4,0
0,77,6,89,1,4,1
0,83,6,108,1,4,0
0,91,6,110,1,4,0
0,86,6,111,1,4,0
0,78,7,100,0,4,1
0,85,4,112,1,4,0
0,90,4,112,0,4,1
0,76,7,75,1,4,0
0,85,4,115,1,4,0
0,106,7,80,2,4,0
0,0,7,100,0,4,0
0,92,7,83,0,4,2
0,0,10,73,0,4,0
0,78,6,109,1,4,0
0,90,6,92,0,4,1
0,95,7,88,0,4,1
0,102,3,93,0,4,2
0,77,7,106,1,4,0
0,79,10,98,0,4,0
0,77,6,113,2,4,0
0,75,6,104,1,4,0
0,103,4,90,0,4,2
0,102,3,132,0,4,1
0,77,10,91,1,4,1
0,102,4,108,0,4,2
0,80,7,141,0,4,0
0,77,7,125,1,4,0
0,102,3,134,0,4,0
0,101,7,109,0,4,0
0,77,6,93,1,4,1
0,94,7,84,1,4,0
0,79,7,89,1,4,2
0,76,6,86,0,4,2
0,81,6,99,1,4,1
0,77,8,98,0,4,1
0,76,8,82,1,4,0
0,107,8,87,0,4,1
0,85,12,87,0,4,1
0,76,8,98,0,4,0
0,86,7,84,1,4,1
0,84,6,86,1,4,1
0,87,8,74,0,4,1
0,79,7,87,0,4,1
0,103,6,91,0,4,1
0,106,7,90,0,4,0
0,99,6,91,0,4,0
0,101,3,116,0,4,1
0,102,3,95,0,4,2
0,76,9,63,0,4,2
0,76,6,83,2,4,0
0,76,6,92,1,4,1
0,85,6,91,1,4,2
0,97,6,91,0,4,1
0,99,7,108,1,4,0
0,75,7,102,1,4,1
0,98,3,117,1,4,0
0,93,7,98,0,4,1
0,95,4,113,1,4,0
0,77,9,118,1,4,0
0,80,9,81,1,4,1
0,84,7,80,1,4,1
0,99,6,113,1,4,0
0,78,7,80,1,4,1
0,76,6,93,1,4,1
0,88,7,111,0,4,0
0,82,6,88,0,4,2
0,88,4,114,1,4,1
0,92,6,82,1,4,1
0,97,6,92,0,4,0
0,76,6,89,2,4,0
0,75,4,92,1,4,0
0,78,11,90,0,4,0
0,89,7,85,0,4,1
0,96,6,129,0,4,1
0,81,4,112,0,4,1
0,82,7,98,0,4,2
0,74,4,94,1,4,0
0,90,3,91,1,4,1
0,81,7,85,0,4,3
0,100,6,132,0,4,0
0,81,6,108,0,4,2
0,93,4,114,0,4,1
0,82,8,119,0,4,0
0,92,8,98,0,4,0
0,75,7,110,0,4,2
0,102,3,115,2,4,0
0,86,8,100,0,4,2
0,77,6,111,0,4,1
0,82,3,117,1,4,0
0,80,7,84,2,4,0
0,85,7,108,1,4,0
0,102,3,113,0,4,1
0,80,7,125,1,4,0
0,102,7,88,1,4,0
0,102,7,88,2,4,0
0,85,7,108,0,4,2
0,82,7,117,0,4,0
0,96,12,65,2,4,0
0,77,9,72,1,4,1
0,85,10,69,1,4,0
0,77,7,92,1,4,0
0,78,7,82,0,4,2
0,76,8,82,1,4,1
0,76,7,95,0,4,1
0,97,6,92,0,4,1
0,82,6,132,0,4,1
0,89,6,83,0,4,0
0,78,7,100,1,4,0
0,83,7,88,1,4,0
0,77,7,85,2,4,0
0,81,13,63,0,4,0
0,0,8,95,0,4,0
0,76,8,94,1,4,0
0,77,6,85,1,4,1
0,93,8,79,2,4,0
0,93,7,110,0,4,1
